#Nodes,#cores/node,#jobs,Runtime,Queuing Time,Coordination URL,LRMS URL,SubJob Submission Time
1,8,32,18.4421620369,1.52348709106,redis://cyder.cct.lsu.edu:8080,pbspro://localhost,6.46908092499
2,8,64,20.0739939213,1.37660598755,redis://cyder.cct.lsu.edu:8080,pbspro://localhost,12.1737139225
4,8,128,37.6526088715,1.37782502174,redis://cyder.cct.lsu.edu:8080,pbspro://localhost,23.9275889397
8,8,256,59.0309579372,1.37745881081,redis://cyder.cct.lsu.edu:8080,pbspro://localhost,47.3345248699
16,8,512,117.664081097,1.60466003418,redis://cyder.cct.lsu.edu:8080,pbspro://localhost,94.2842051983
8,8,64,20.7511119843,3.81690597534,redis://cyder.cct.lsu.edu:8080,pbspro://localhost,12.821655035
8,8,64,20.1977078915,1.47428297997,redis://cyder.cct.lsu.edu:8080,pbspro://localhost,12.3041307926
8,8,128,29.7417159081,1.14812588692,redis://cyder.cct.lsu.edu:8080,pbspro://localhost,23.8712928295
8,8,256,59.1265609264,1.14866781235,redis://cyder.cct.lsu.edu:8080,pbspro://localhost,47.3977868557
8,8,512,117.686143875,1.14860606194,redis://cyder.cct.lsu.edu:8080,pbspro://localhost,94.321573019
8,8,1024,234.735635042,1.14848399162,redis://cyder.cct.lsu.edu:8080,pbspro://localhost,188.051880121
8,8,2048,469.512818098,1.63156890869,redis://cyder.cct.lsu.edu:8080,pbspro://localhost,376.124140024
8,8,64,292.086319208,6.68612098694,advert://advert.cct.lsu.edu:8080,pbspro://localhost,211.007853031
8,8,128,579.723013878,6.16570401192,advert://advert.cct.lsu.edu:8080,pbspro://localhost,419.29802084
8,8,256,1159.63293004,6.20220303535,advert://advert.cct.lsu.edu:8080,pbspro://localhost,839.14123702
8,8,512,2674.87877703,67.3352220058,advert://advert.cct.lsu.edu:8080,pbspro://localhost,1704.25101995
8,8,1024,4771.69349003,6.38845515251,advert://advert.cct.lsu.edu:8080,pbspro://localhost,3451.63320208
8,8,2048,9939.65498185,6.41661381721,advert://advert.cct.lsu.edu:8080,pbspro://localhost,7180.07628679
8,8,64,321.747987986,7.08483099937,advert://advert.cct.lsu.edu:8080,pbspro://localhost,233.385019064
8,8,128,638.672925949,6.68800115585,advert://advert.cct.lsu.edu:8080,pbspro://localhost,463.568186045
8,8,256,1279.67949319,6.72450423241,advert://advert.cct.lsu.edu:8080,pbspro://localhost,929.270706177
8,8,512,2576.98355389,6.71622681618,advert://advert.cct.lsu.edu:8080,pbspro://localhost,1870.65111589
8,8,64,330.925557852,7.3254468441,advert://advert.cct.lsu.edu:8080,pbspro://localhost,240.148617983
8,8,128,747.744222164,6.84120106697,advert://advert.cct.lsu.edu:8080,pbspro://localhost,477.363001108
8,8,256,1313.79541397,6.71693897247,advert://advert.cct.lsu.edu:8080,pbspro://localhost,954.819957972
8,8,512,2648.34699917,6.77946400642,advert://advert.cct.lsu.edu:8080,pbspro://localhost,1924.45455813
8,8,1024,5393.33782005,6.9680981636,advert://advert.cct.lsu.edu:8080,pbspro://localhost,3914.59984517
8,8,2048,11191.0398719,6.95373988152,advert://advert.cct.lsu.edu:8080,pbspro://localhost,8108.59691
8,8,64,43.7156867981,0.368520975113,tcp://i136,pbspro://localhost,0.338313817978
8,8,128,12.8186478615,0.324517965317,tcp://i136,pbspro://localhost,0.286180973053
8,8,256,23.7028939724,0.427933931351,tcp://i136,pbspro://localhost,0.404490947723
8,8,64,8.50071787834,0.26043510437,tcp://i136,pbspro://localhost,0.234670877457
8,8,128,12.8951468468,0.363570928574,tcp://i136,pbspro://localhost,0.332006931305
8,8,256,21.6994681358,0.589028120041,tcp://i136,pbspro://localhost,0.565536975861
8,8,64,1121.98506999,319.218183041,advert://advert.cct.lsu.edu:8080,pbspro://localhost,319.174973965
8,8,128,719.316339016,7.3597099781,advert://advert.cct.lsu.edu:8080,pbspro://localhost,523.919676065
8,8,256,1439.94847798,7.49525094032,advert://advert.cct.lsu.edu:8080,pbspro://localhost,1049.339571
8,8,512,2890.31678605,7.28389286995,advert://advert.cct.lsu.edu:8080,pbspro://localhost,2105.27234292
8,8,1024,5870.40997386,7.38049793243,advert://advert.cct.lsu.edu:8080,pbspro://localhost,4272.32352495
8,8,2048,12183.2355242,7.45218014717,advert://advert.cct.lsu.edu:8080,pbspro://localhost,8851.41625619
8,8,64,8.58104896545,0.343811988831,tcp://i136,pbspro://localhost,0.303438901901
8,8,128,12.7465112209,0.292777061462,tcp://i136,pbspro://localhost,0.267311096191
8,8,256,21.8131189346,0.649261951447,tcp://i136,pbspro://localhost,0.607766151428
8,8,64,10.5481600761,0.272397041321,tcp://i136,pbspro://localhost,0.249839067459
8,8,128,12.7091469765,0.26044511795,tcp://i136,pbspro://localhost,0.23780298233
8,8,256,21.4717960358,0.417567968369,tcp://i136,pbspro://localhost,0.393982887268
8,8,512,42.0943410397,0.7951130867,tcp://i136,pbspro://localhost,0.81999206543
8,8,1024,85.1761741638,1.36066603661,tcp://i136,pbspro://localhost,1.75495910645
8,8,2048,416.409268856,1.47547602654,tcp://i136,pbspro://localhost,2.90892291069
8,8,64,16.7719419003,0.307677984238,tcp://i136,pbspro://localhost,0.265705823898
8,8,128,31.3780300617,0.297686100006,tcp://i136,pbspro://localhost,0.267590999603
8,8,256,57.3973720074,0.477921009064,tcp://i136,pbspro://localhost,0.445854902267
8,8,512,107.391859055,0.773729085922,tcp://i136,pbspro://localhost,0.740945100784
8,8,1024,212.691549063,0.85684299469,tcp://i136,pbspro://localhost,1.38875222206
8,8,2048,414.875330925,0.876807928085,tcp://i136,pbspro://localhost,2.62271904945
8,8,64,6.3358631134,0.187757015228,redis://i136,pbspro://localhost,0.166041135788
8,8,128,12.5712559223,0.230847835541,redis://i136,pbspro://localhost,0.208591938019
8,8,256,23.1939780712,0.389391899109,redis://i136,pbspro://localhost,0.366025924683
8,8,512,42.9815409184,0.74200797081,redis://i136,pbspro://localhost,0.70467209816
8,8,1024,90.3939619064,0.771148920059,redis://i136,pbspro://localhost,1.08056306839
8,8,2048,168.715717077,0.829164028168,redis://i136,pbspro://localhost,2.15268707275
8,8,64,6.34483504295,0.196967124939,redis://i136,pbspro://localhost,0.175265073776
8,8,128,12.5653400421,0.218158006668,redis://i136,pbspro://localhost,0.196650981903
8,8,256,23.202272892,0.367722034454,redis://i136,pbspro://localhost,0.337152957916
8,8,512,42.8760240078,0.689885139465,redis://i136,pbspro://localhost,0.654147148132
8,8,1024,92.3915228844,1.22496581078,redis://i136,pbspro://localhost,1.35085892677
8,8,2048,169.686177015,1.09123897552,redis://i136,pbspro://localhost,2.19100809097
8,8,64,6.376953125,0.230389118195,redis://i136,pbspro://localhost,0.191555976868
8,8,128,12.6466829777,0.297149896622,redis://i136,pbspro://localhost,0.266883850098
8,8,256,23.2067370415,0.373768091202,redis://i136,pbspro://localhost,0.351819992065
8,8,512,45.0724861622,0.718244075775,redis://i136,pbspro://localhost,0.66979598999
8,8,1024,89.9300131798,0.86346912384,redis://i136,pbspro://localhost,1.16062998772
8,8,2048,169.876181841,0.754833936691,redis://i136,pbspro://localhost,1.99920678139
8,8,64,20.3715310097,1.63948607445,redis://cyder.cct.lsu.edu:8080,pbspro://localhost,12.4730398655
8,8,128,29.7334668636,0.964411973953,redis://cyder.cct.lsu.edu:8080,pbspro://localhost,23.8669497967
8,8,256,59.0333828926,1.19337296486,redis://cyder.cct.lsu.edu:8080,pbspro://localhost,47.3394629955
8,8,512,117.823922157,1.19418406487,redis://cyder.cct.lsu.edu:8080,pbspro://localhost,94.2549161911
8,8,1024,240.268550873,1.19384694099,redis://cyder.cct.lsu.edu:8080,pbspro://localhost,192.401947975
8,8,2048,469.312741041,2.1284070015,redis://cyder.cct.lsu.edu:8080,pbspro://localhost,375.975116014