Run,PC,PD,#jobs,MB,Upload Time,qtime,Runtime,CU qtime,CU 
0,euca+ssh://149.165.146.135:8773/services/Eucalyptus,walrus://149.165.146.135/pilot-data-ce26c50c-f1a5-11e1-a0c8-e61f1322a75c,1,1024,308.803351879,368.699491978,702.603434801,12.8199999332,3.32000017166
runtime0,ec2+ssh://aws.amazon.com/,s3://pilot-data-43741208-f203-11e1-a6e4-e61f1322a75c,1,1024,162.707400084,68.3546228409,366.302303076,116.230000019,4.45000004768
0,ec2+ssh://aws.amazon.com/,s3://pilot-data-b00a7cc4-f21a-11e1-b9a4-e61f1322a75c,1,1024,631.787338972,80.18897295,845.181615114,120.150000095,5.11999988556
0,ec2+ssh://aws.amazon.com/,s3://pilot-data-a024c3c0-f2c2-11e1-96dc-e61f1322a75c,1,128,32.2815909386,53.9475212097,117.367043972,13.5999999046,4.17000007629
0	ec2+ssh://aws.amazon.com/	s3://pilot-data-1f7bf582-f2da-11e1-be5c-00215ec9e3ac	1	128	17.9928212166	75.5467708111	120.786075115	15.2100000381	4.1400001049
0,ec2+ssh://aws.amazon.com/,s3://pilot-data-03655392-f425-11e1-b061-00215ec9e3ac,1,128,19.4080750942,74.8276648521,121.425570965,17.7699999809,1.18000006676
0,gce+ssh://google.com,gs://pilot-data-036555f4-f425-11e1-b061-00215ec9e3ac,1,128,126.943170071,34.3135230541,180.410248041,9.44000005722,1.09999990463
1,ec2+ssh://aws.amazon.com/,s3://pilot-data-03655392-f425-11e1-b061-00215ec9e3ac,1,128,20.9251890182,76.3146660328,122.424413919,13.5399999619,-1.0
1,gce+ssh://google.com,gs://pilot-data-036555f4-f425-11e1-b061-00215ec9e3ac,1,128,91.1886100769,38.8096108437,159.185961008,16.4100000858,4.56999993324
2,ec2+ssh://aws.amazon.com/,s3://pilot-data-03655392-f425-11e1-b061-00215ec9e3ac,1,128,19.8528869152,44.3592460155,99.4229569435,16.6500000954,5.12999987602
2,gce+ssh://google.com,gs://pilot-data-036555f4-f425-11e1-b061-00215ec9e3ac,1,128,93.4172589779,34.3731110096,156.98407197,17.8499999046,3.09000015259
3,ec2+ssh://aws.amazon.com/,s3://pilot-data-03655392-f425-11e1-b061-00215ec9e3ac,1,128,38.5318980217,70.4550850391,130.146358013,11.8100001812,1.16999983788
0,ec2+ssh://aws.amazon.com/,s3://pilot-data-3a616460-f445-11e1-9100-00215ec9e3ac,1,1024,164.963943005,49.6452431679,334.128916979,100.49000001,5.92000007629
0,gce+ssh://google.com,gs://pilot-data-3a6165f0-f445-11e1-9100-00215ec9e3ac,1,1024,1856.70376205,38.0925529003,1976.17002487,69.2599999905,3.97000002861
1,ec2+ssh://aws.amazon.com/,s3://pilot-data-3a616460-f445-11e1-9100-00215ec9e3ac,1,1024,185.328429937,85.4346981049,388.312330961,103.910000086,5.19999980927
1,gce+ssh://google.com,gs://pilot-data-3a6165f0-f445-11e1-9100-00215ec9e3ac,1,1024,692.016640902,34.5574400425,816.004045963,80.5,1.61000013351
2,ec2+ssh://aws.amazon.com/,s3://pilot-data-3a616460-f445-11e1-9100-00215ec9e3ac,1,1024,315.399377108,84.2394108772,607.498153925,197.910000086,2.83999991417
2,gce+ssh://google.com,gs://pilot-data-3a6165f0-f445-11e1-9100-00215ec9e3ac,1,1024,1744.10086322,35.3361749649,1842.76657915,51.3399999142,3.29999995232
3,ec2+ssh://aws.amazon.com/,s3://pilot-data-3a616460-f445-11e1-9100-00215ec9e3ac,1,1024,157.730926037,86.8612878323,374.15741992,110.230000019,11.7300000191
3,gce+ssh://google.com,gs://pilot-data-3a6165f0-f445-11e1-9100-00215ec9e3ac,1,1024,711.83364296,38.5744960308,815.744610071,52.7999999523,3.93000006676
4,ec2+ssh://aws.amazon.com/,s3://pilot-data-3a616460-f445-11e1-9100-00215ec9e3ac,1,1024,159.885560036,44.3581089973,329.813985109,105.130000114,5.75999999046
4,gce+ssh://google.com,gs://pilot-data-3a6165f0-f445-11e1-9100-00215ec9e3ac,1,1024,712.203813076,35.7849378586,809.293173075,51.0900001526,1.84999990463
5,ec2+ssh://aws.amazon.com/,s3://pilot-data-3a616460-f445-11e1-9100-00215ec9e3ac,1,1024,167.376564026,83.8760550022,362.745085001,97.3800001144,6.75999999046
5,gce+ssh://google.com,gs://pilot-data-3a6165f0-f445-11e1-9100-00215ec9e3ac,1,1024,2002.243119,40.4865391254,2154.23116922,100.359999895,3.99000000954
6,ec2+ssh://aws.amazon.com/,s3://pilot-data-3a616460-f445-11e1-9100-00215ec9e3ac,1,1024,162.53147912,82.3473649025,356.379965067,98.7599999905,5.19000005722
6,gce+ssh://google.com,gs://pilot-data-3a6165f0-f445-11e1-9100-00215ec9e3ac,1,1024,713.629225969,34.6437149048,817.61335206,56.4200000763,4.05999994278
7,ec2+ssh://aws.amazon.com/,s3://pilot-data-3a616460-f445-11e1-9100-00215ec9e3ac,1,1024,158.083336115,49.5533559322,339.212662935,110.730000019,5.81999993324
7,gce+ssh://google.com,gs://pilot-data-3a6165f0-f445-11e1-9100-00215ec9e3ac,1,1024,754.984893084,34.906085968,855.214601994,56.3500001431,0.789999961853
8,ec2+ssh://aws.amazon.com/,s3://pilot-data-3a616460-f445-11e1-9100-00215ec9e3ac,1,1024,171.67495203,94.9328799248,378.10926199,102.25,1.84000015259
8,gce+ssh://google.com,gs://pilot-data-3a6165f0-f445-11e1-9100-00215ec9e3ac,1,1024,708.079766035,32.4722218513,835.985096931,84.5399999619,3.05999994278
9,ec2+ssh://aws.amazon.com/,s3://pilot-data-3a616460-f445-11e1-9100-00215ec9e3ac,1,1024,159.795846939,82.0572190285,359.372569084,103.919999838,5.5
0,gce+ssh://google.com,gs://pilot-data-16341850-f4f2-11e1-9649-00215ec9e3ac,1,1024,1227.46902084,34.4465050697,1700.50593901,427.24000001,4.20000004768